,rating,timestamp,genres
2645,3.0,1573944252,Adventure
2646,3.0,1573944252,Animation
2647,3.0,1573944252,Children
2648,3.0,1573944252,Comedy
2649,3.0,1573944252,Fantasy
2650,3.5,1573938415,Action
2651,3.5,1573938415,Adventure
2652,3.5,1573938415,Sci-Fi
2653,4.0,1573938898,Comedy
2654,4.0,1573938898,Crime
2655,4.0,1573938898,Drama
2656,4.0,1573938898,Thriller
2657,4.5,1573944303,Action
2658,4.5,1573944303,Sci-Fi
2659,4.5,1573944303,Thriller
2660,4.0,1573939042,Action
2661,4.0,1573939042,Sci-Fi
2662,4.0,1573942880,Adventure
2663,4.0,1573942880,Drama
2664,4.0,1573942880,Sci-Fi
2665,4.0,1573941169,Action
2666,4.0,1573941169,Crime
2667,4.0,1573941169,Thriller
2668,3.5,1573944005,Comedy
2669,4.5,1574195101,Adventure
2670,4.5,1574195101,Comedy
2671,4.5,1574195101,Fantasy
2672,4.0,1573938701,Action
2673,4.0,1573938701,Adventure
2674,4.0,1573938701,Sci-Fi
2675,4.5,1573945628,Action
2676,4.5,1573945628,Adventure
2677,4.5,1573945628,Comedy
2678,4.5,1573945628,Fantasy
2679,4.5,1573945628,Romance
2680,4.0,1573938665,Action
2681,4.0,1573938665,Adventure
2682,3.5,1573944311,Action
2683,3.5,1573944311,Adventure
2684,3.5,1573944311,Horror
2685,3.5,1573944311,Sci-Fi
2686,3.5,1573943306,Action
2687,3.5,1573943306,Adventure
2688,3.5,1573943306,Western
2689,3.0,1573938225,Action
2690,3.0,1573938225,Adventure
2691,3.0,1573938225,Sci-Fi
2692,2.5,1573938290,Horror
2693,2.5,1573938290,Sci-Fi
2694,4.0,1573939087,Action
2695,4.0,1573939087,Comedy
2696,4.0,1573939087,Musical
2697,4.0,1573943155,Comedy
2698,4.0,1573943155,Fantasy
2699,4.0,1573943155,Romance
2700,2.5,1573944225,Adventure
2701,2.5,1573944225,Comedy
2702,2.5,1573944225,Sci-Fi
2703,4.0,1573944001,Comedy
2704,4.0,1573944001,Fantasy
2705,3.5,1573944208,Comedy
2706,4.0,1573938377,Action
2707,4.0,1573938377,Adventure
2708,3.5,1573938987,Action
2709,3.5,1573938987,Adventure
2710,3.5,1573938987,Comedy
2711,3.5,1573938987,Sci-Fi
2712,4.5,1573938142,Action
2713,4.5,1573938142,Comedy
2714,4.5,1573938142,Sci-Fi
2715,3.5,1573938232,Action
2716,3.5,1573938232,Adventure
2717,3.5,1573938232,Thriller
2718,4.5,1573943590,Comedy
2719,4.5,1573943590,Crime
2720,4.0,1573938543,Adventure
2721,4.0,1573938543,Animation
2722,4.0,1573938543,Children
2723,4.0,1573938543,Comedy
2724,4.0,1573938543,Drama
2725,4.0,1573938543,Musical
2726,4.0,1573938543,Romance
2727,4.0,1573943852,Action
2728,4.0,1573943852,Adventure
2729,4.0,1573943852,Drama
2730,4.5,1573938324,Action
2731,4.5,1573938324,Drama
2732,4.5,1573938324,War
2733,3.0,1573944458,Action
2734,3.0,1573944458,Adventure
2735,3.0,1573944458,Fantasy
2736,4.5,1573938619,Action
2737,4.5,1573938619,Sci-Fi
2738,4.5,1573938619,Thriller
2739,4.0,1573944417,Action
2740,4.0,1573944417,Comedy
2741,4.0,1573944417,Sci-Fi
2742,4.0,1573944204,Comedy
2743,3.5,1573943873,Comedy
2744,3.5,1573944499,Action
2745,3.5,1573944499,Western
2746,4.0,1573938361,Action
2747,4.0,1573938361,Crime
2748,4.0,1573938361,Drama
2749,4.0,1573938361,Sci-Fi
2750,4.0,1573938361,Thriller
2751,3.5,1573943471,Action
2752,3.5,1573943471,Adventure
2753,3.5,1573943471,Thriller
2754,3.0,1573944542,Comedy
2755,3.0,1573944542,Sci-Fi
2756,3.5,1573944424,Comedy
2757,3.0,1573944042,Adventure
2758,3.0,1573944042,Animation
2759,3.0,1573944042,Children
2760,3.0,1573944042,Comedy
2761,3.0,1573944042,Fantasy
2762,4.0,1573943913,Adventure
